Race,Year,Household Income by Race,Household Income by Race Moe,County,State
Two Or More,2018,93125,59386.00000000001,St. Lawrence County, NY
Two Or More,2018,85226,8694.0,Saratoga County, NY
Two Or More,2018,35207,9111.0,Schenectady County, NY
Two Or More,2018,66864,16666.0,Suffolk County, NY
Two Or More,2018,26523,8768.0,Tompkins County, NY
Two Or More,2018,77862,26813.0,Westchester County, NY
White Non-Hispanic,2018,74534,4650.0,Albany County, NY
White Non-Hispanic,2018,58898,4776.0,Bronx County, NY
White Non-Hispanic,2018,52362,3877.0,Broome County, NY
White Non-Hispanic,2018,49216,3052.0,Cattaraugus County, NY
White Non-Hispanic,2018,53831,5104.0,Cayuga County, NY
White Non-Hispanic,2018,47258,3275.0,Chautauqua County, NY
White Non-Hispanic,2018,55719,3593.0,Chemung County, NY
White Non-Hispanic,2018,57052,5872.0,Clinton County, NY
White Non-Hispanic,2018,84517,4112.0,Dutchess County, NY
White Non-Hispanic,2018,63482,1973.0,Erie County, NY
White Non-Hispanic,2018,53168,4072.0,Jefferson County, NY
White Non-Hispanic,2018,83910,3224.0,Kings County, NY
White Non-Hispanic,2018,62330,5828.0,Livingston County, NY
White Non-Hispanic,2018,59047,4040.0,Madison County, NY
White Non-Hispanic,2018,68322,2381.0,Monroe County, NY
White Non-Hispanic,2018,122458,2890.0,Nassau County, NY
White Non-Hispanic,2018,126091,3814.0,New York County, NY
White Non-Hispanic,2018,57769,3677.0,Niagara County, NY
White Non-Hispanic,2018,57750,2480.0,Oneida County, NY
White Non-Hispanic,2018,67589,2288.0,Onondaga County, NY
White Non-Hispanic,2018,64024,3600.0,Ontario County, NY
White Non-Hispanic,2018,80826,4522.0,Orange County, NY
White Non-Hispanic,2018,54020,3659.0,Oswego County, NY
White Non-Hispanic,2018,104365,8102.0,Putnam County, NY
White Non-Hispanic,2018,80552,2098.0,Queens County, NY
White Non-Hispanic,2018,74860,3238.0,Rensselaer County, NY
White Non-Hispanic,2018,90754,3765.0,Richmond County, NY
White Non-Hispanic,2018,88442,5371.0,Rockland County, NY
White Non-Hispanic,2018,49223,3314.0,St. Lawrence County, NY
White Non-Hispanic,2018,81937,3694.0,Saratoga County, NY
White Non-Hispanic,2018,71606,5584.0,Schenectady County, NY
White Non-Hispanic,2018,55484,3052.0,Steuben County, NY
White Non-Hispanic,2018,104030,3011.0,Suffolk County, NY
White Non-Hispanic,2018,56378,8284.0,Sullivan County, NY
White Non-Hispanic,2018,64089,4434.0,Tompkins County, NY
White Non-Hispanic,2018,69405,4694.0,Ulster County, NY
White Non-Hispanic,2018,56243,2638.0,Warren County, NY
White Non-Hispanic,2018,62564,4521.0,Wayne County, NY
White Non-Hispanic,2018,117798,6448.0,Westchester County, NY
Hispanic,2018,36864,10785.0,Albany County, NY
Hispanic,2018,33646,1377.0,Bronx County, NY
Hispanic,2018,51929,19558.0,Broome County, NY
Hispanic,2018,44063,16414.0,Cattaraugus County, NY
Hispanic,2018,35131,9206.0,Cayuga County, NY
Hispanic,2018,23828,8244.0,Chautauqua County, NY
Hispanic,2018,67580,42627.0,Clinton County, NY
Hispanic,2018,52256,6503.0,Dutchess County, NY
Hispanic,2018,28462,6057.0,Erie County, NY
Hispanic,2018,54167,6227.0,Jefferson County, NY
Hispanic,2018,45842,3568.0,Kings County, NY
Hispanic,2018,36641,18663.0,Livingston County, NY
Hispanic,2018,87825,39928.0,Madison County, NY
Hispanic,2018,27282,6116.0,Monroe County, NY
Hispanic,2018,81187,6705.0,Nassau County, NY
Hispanic,2018,39704,4614.0,New York County, NY
Hispanic,2018,28444,19736.0,Niagara County, NY
