ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
8,"White Non-Hispanic",2019,"2019",87713,5619,"Saratoga County, NY","05000US36091","saratoga-county-ny"
8,"White Non-Hispanic",2019,"2019",78851,7919.999999999999,"Schenectady County, NY","05000US36093","schenectady-county-ny"
8,"White Non-Hispanic",2019,"2019",52730,2360,"Steuben County, NY","05000US36101","steuben-county-ny"
8,"White Non-Hispanic",2019,"2019",109817,3032,"Suffolk County, NY","05000US36103","suffolk-county-ny"
8,"White Non-Hispanic",2019,"2019",61496,9026,"Sullivan County, NY","05000US36105","sullivan-county-ny"
8,"White Non-Hispanic",2019,"2019",63165,3980,"Tompkins County, NY","05000US36109","tompkins-county-ny"
8,"White Non-Hispanic",2019,"2019",64898,5052,"Ulster County, NY","05000US36111","ulster-county-ny"
8,"White Non-Hispanic",2019,"2019",64072,6409,"Warren County, NY","05000US36113","warren-county-ny"
8,"White Non-Hispanic",2019,"2019",64299,5942,"Wayne County, NY","05000US36117","wayne-county-ny"
8,"White Non-Hispanic",2019,"2019",126202,5217,"Westchester County, NY","05000US36119","westchester-county-ny"
9,"Hispanic",2019,"2019",49717,20330,"Albany County, NY","05000US36001","albany-county-ny"
9,"Hispanic",2019,"2019",36720,1941,"Bronx County, NY","05000US36005","bronx-county-ny"
9,"Hispanic",2019,"2019",45915,23740,"Broome County, NY","05000US36007","broome-county-ny"
9,"Hispanic",2019,"2019",58989,43696,"Cattaraugus County, NY","05000US36009","cattaraugus-county-ny"
9,"Hispanic",2019,"2019",43131,14672.999999999998,"Cayuga County, NY","05000US36011","cayuga-county-ny"
9,"Hispanic",2019,"2019",21055,9438,"Chautauqua County, NY","05000US36013","chautauqua-county-ny"
9,"Hispanic",2019,"2019",57822,23109,"Chemung County, NY","05000US36015","chemung-county-ny"
9,"Hispanic",2019,"2019",85276,69765,"Clinton County, NY","05000US36019","clinton-county-ny"
9,"Hispanic",2019,"2019",81597,31418.000000000004,"Dutchess County, NY","05000US36027","dutchess-county-ny"
9,"Hispanic",2019,"2019",36228,6319,"Erie County, NY","05000US36029","erie-county-ny"
9,"Hispanic",2019,"2019",45680,7047.000000000001,"Jefferson County, NY","05000US36045","jefferson-county-ny"
9,"Hispanic",2019,"2019",49928,2498,"Kings County, NY","05000US36047","kings-county-ny"
9,"Hispanic",2019,"2019",40634,5700,"Monroe County, NY","05000US36055","monroe-county-ny"
9,"Hispanic",2019,"2019",101094,7802.000000000001,"Nassau County, NY","05000US36059","nassau-county-ny"
9,"Hispanic",2019,"2019",41052,2042,"New York County, NY","05000US36061","new-york-county-ny"
9,"Hispanic",2019,"2019",75919,61785,"Niagara County, NY","05000US36063","niagara-county-ny"
9,"Hispanic",2019,"2019",49746,20379,"Oneida County, NY","05000US36065","oneida-county-ny"
9,"Hispanic",2019,"2019",44076,4138,"Onondaga County, NY","05000US36067","onondaga-county-ny"
9,"Hispanic",2019,"2019",29883,6396,"Ontario County, NY","05000US36069","ontario-county-ny"
9,"Hispanic",2019,"2019",85518,7086,"Orange County, NY","05000US36071","orange-county-ny"
9,"Hispanic",2019,"2019",21629,20110,"Oswego County, NY","05000US36075","oswego-county-ny"
9,"Hispanic",2019,"2019",97332,17621,"Putnam County, NY","05000US36079","putnam-county-ny"
9,"Hispanic",2019,"2019",65137,2813,"Queens County, NY","05000US36081","queens-county-ny"
9,"Hispanic",2019,"2019",35448,9519,"Rensselaer County, NY","05000US36083","rensselaer-county-ny"
9,"Hispanic",2019,"2019",52308,10269,"Richmond County, NY","05000US36085","richmond-county-ny"
9,"Hispanic",2019,"2019",80628,18400,"Rockland County, NY","05000US36087","rockland-county-ny"
9,"Hispanic",2019,"2019",101519,17407,"Saratoga County, NY","05000US36091","saratoga-county-ny"
9,"Hispanic",2019,"2019",35422,21082,"Schenectady County, NY","05000US36093","schenectady-county-ny"
9,"Hispanic",2019,"2019",94922,8593,"Suffolk County, NY","05000US36103","suffolk-county-ny"
9,"Hispanic",2019,"2019",60338,5839,"Sullivan County, NY","05000US36105","sullivan-county-ny"
9,"Hispanic",2019,"2019",40472,14685,"Tompkins County, NY","05000US36109","tompkins-county-ny"
9,"Hispanic",2019,"2019",57401,25323,"Ulster County, NY","05000US36111","ulster-county-ny"
9,"Hispanic",2019,"2019",57086,51041,"Wayne County, NY","05000US36117","wayne-county-ny"
9,"Hispanic",2019,"2019",75820,4778,"Westchester County, NY","05000US36119","westchester-county-ny"
0,"Total",2018,"2018",64435,4607,"Albany County, NY","05000US36001","albany-county-ny"
0,"Total",2018,"2018",38467,1863.9999999999998,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Total",2018,"2018",51125,2910,"Broome County, NY","05000US36007","broome-county-ny"
0,"Total",2018,"2018",48179,3100,"Cattaraugus County, NY","05000US36009","cattaraugus-county-ny"
0,"Total",2018,"2018",52376,4473,"Cayuga County, NY","05000US36011","cayuga-county-ny"
0,"Total",2018,"2018",45479,2258,"Chautauqua County, NY","05000US36013","chautauqua-county-ny"
0,"Total",2018,"2018",53005,3786,"Chemung County, NY","05000US36015","chemung-county-ny"
